datahora,estado,riscofogo,riscoAbsoluto
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.01,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.01,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.13,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.75,1
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.01,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.12,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.75,1
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.06,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.79,1
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.06,0
2017/04/01 17:18:00,RIO GRANDE DO SUL,0.09,0
2017/04/01 17:18:00,SANTA CATARINA,0.74,1
2017/04/01 17:19:00,PARANA,0.86,1
2017/04/01 17:19:00,PARANA,0.95,1
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,0.49,0
2017/04/01 17:19:00,PARANA,0.95,1
2017/04/01 17:19:00,PARANA,0.96,1
2017/04/01 17:19:00,PARANA,0.94,1
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,0.29,0
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,0.93,1
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,0.76,1
2017/04/01 17:19:00,SANTA CATARINA,0.65,0
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,1,1
2017/04/01 17:19:00,PARANA,0.64,0
2017/04/01 17:19:00,PARANA,0.86,1
2017/04/01 17:20:00,PARANA,0.78,1
2017/04/01 17:20:00,PARANA,0.86,1
2017/04/01 17:20:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:20:00,SAO PAULO,0.86,1
2017/04/01 17:20:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:20:00,MATO GROSSO DO SUL,0.08,0
2017/04/01 17:20:00,PARANA,0.42,0
2017/04/01 17:20:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:20:00,PARANA,0.86,1
2017/04/01 17:20:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:20:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:20:00,SAO PAULO,0.86,1
2017/04/01 17:20:00,PARANA,0.78,1
2017/04/01 17:20:00,PARANA,0.17,0
2017/04/01 17:20:00,PARANA,0.17,0
2017/04/01 17:20:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:20:00,MATO GROSSO DO SUL,0.07,0
2017/04/01 17:20:00,PARANA,0.86,1
2017/04/01 17:21:00,MATO GROSSO DO SUL,0.06,0
2017/04/01 17:21:00,MINAS GERAIS,0.8,1
2017/04/01 17:21:00,MATO GROSSO DO SUL,0.09,0
2017/04/01 17:21:00,MATO GROSSO DO SUL,1,1
2017/04/01 17:21:00,MATO GROSSO DO SUL,0.71,1
2017/04/01 17:21:00,MATO GROSSO DO SUL,0.63,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0.02,0
2017/04/01 17:22:00,MATO GROSSO,0.19,0
2017/04/01 17:22:00,MATO GROSSO,0.02,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0.4,0
2017/04/01 17:22:00,MATO GROSSO,0.03,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0.02,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0.04,0
2017/04/01 17:22:00,MATO GROSSO,0.05,0
2017/04/01 17:22:00,MATO GROSSO,0.01,0
2017/04/01 17:22:00,MATO GROSSO,0.06,0
2017/04/01 17:22:00,MATO GROSSO,0,0
2017/04/01 17:22:00,MATO GROSSO,0.03,0
2017/04/01 17:22:00,MATO GROSSO,0.12,0
2017/04/01 17:22:00,MATO GROSSO,0.04,0
2017/04/01 17:22:00,MATO GROSSO,0.02,0
2017/04/01 17:22:00,MATO GROSSO,0.04,0
2017/04/01 17:22:00,MATO GROSSO,0.19,0
2017/04/01 17:22:00,MATO GROSSO,0.15,0
2017/04/01 17:22:00,MATO GROSSO,0.4,0
2017/04/01 17:22:00,MATO GROSSO,0.2,0
2017/04/01 17:22:00,MATO GROSSO,0.1,0
2017/04/01 17:22:00,MATO GROSSO,0.1,0
2017/04/01 17:22:00,MATO GROSSO,0.47,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0.26,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.78,1
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.43,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.1,0
2017/04/01 17:23:00,MATO GROSSO,0.41,0
2017/04/01 17:23:00,MATO GROSSO,0.17,0
2017/04/01 17:23:00,PARA,0,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0.78,1
2017/04/01 17:23:00,MATO GROSSO,0.42,0
2017/04/01 17:23:00,MATO GROSSO,0.04,0
2017/04/01 17:23:00,MATO GROSSO,0.11,0
2017/04/01 17:23:00,MATO GROSSO,0.11,0
2017/04/01 17:23:00,MATO GROSSO,0.08,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0.16,0
2017/04/01 17:23:00,TOCANTINS,0,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0.02,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.01,0
2017/04/01 17:23:00,MATO GROSSO,0.02,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.02,0
2017/04/01 17:23:00,MATO GROSSO,0,0
2017/04/01 17:23:00,MATO GROSSO,0.1,0
2017/04/01 17:23:00,MATO GROSSO,0.1,0
2017/04/01 17:23:00,MATO GROSSO,0.1,0
2017/04/01 17:23:00,RONDONIA,0.1,0
2017/04/01 17:23:00,MATO GROSSO,0.18,0
2017/04/01 17:26:00,RORAIMA,0.1,0
2017/04/01 17:26:00,RORAIMA,0.05,0
2017/04/01 17:26:00,RORAIMA,0.01,0
2017/04/01 17:27:00,RORAIMA,0.24,0
2017/04/01 17:27:00,RORAIMA,0.13,0
2017/04/01 17:27:00,RORAIMA,0.13,0
2017/04/01 17:27:00,RORAIMA,0.55,0
2017/04/01 17:27:00,RORAIMA,0.55,0
2017/04/01 17:27:00,RORAIMA,0.55,0
2017/04/02 16:27:00,BAHIA,0.04,0
2017/04/02 16:29:00,PARA,0,0
2017/04/02 16:30:00,PARA,0.01,0
2017/04/02 18:03:00,MATO GROSSO DO SUL,0.04,0
2017/04/02 18:03:00,MATO GROSSO DO SUL,0.18,0
2017/04/02 18:03:00,MATO GROSSO DO SUL,0.15,0
2017/04/02 18:03:00,MATO GROSSO DO SUL,0.04,0
2017/04/02 18:04:00,MATO GROSSO DO SUL,0.06,0
2017/04/02 18:04:00,MATO GROSSO DO SUL,0.07,0
2017/04/02 18:04:00,MATO GROSSO DO SUL,0.07,0
2017/04/02 18:06:00,RONDONIA,0,0
2017/04/03 17:06:00,PARANA,0.16,0
2017/04/03 17:06:00,PARANA,0.75,1
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.01,0
2017/04/03 17:06:00,PARANA,0.6,0
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.03,0
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.01,0
2017/04/03 17:06:00,SANTA CATARINA,0.56,0
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.01,0
2017/04/03 17:06:00,PARANA,0.67,0
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.01,0
2017/04/03 17:06:00,PARANA,0.75,1
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.01,0
2017/04/03 17:06:00,RIO GRANDE DO SUL,0.01,0
2017/04/03 17:07:00,SAO PAULO,1,1
2017/04/03 17:07:00,SAO PAULO,0.9,1
2017/04/03 17:07:00,MINAS GERAIS,1,1
2017/04/03 17:07:00,SAO PAULO,1,1
2017/04/03 17:07:00,SAO PAULO,1,1
2017/04/03 17:07:00,PARANA,1,1
2017/04/03 17:07:00,SAO PAULO,1,1
2017/04/03 17:07:00,PARANA,1,1
2017/04/03 17:07:00,SAO PAULO,1,1
2017/04/03 17:07:00,PARANA,1,1
2017/04/03 17:07:00,PARANA,1,1
2017/04/03 17:07:00,PARANA,0.81,1
2017/04/03 17:07:00,PARANA,0.32,0
2017/04/03 17:07:00,PARANA,0.92,1
2017/04/03 17:07:00,PARANA,0.97,1
2017/04/03 17:07:00,PARANA,0.66,0
2017/04/03 17:07:00,PARANA,0.65,0
2017/04/03 17:08:00,MINAS GERAIS,0.62,0
2017/04/03 17:08:00,MINAS GERAIS,1,1
2017/04/03 17:08:00,SAO PAULO,1,1
2017/04/03 17:08:00,SAO PAULO,1,1
2017/04/03 17:08:00,SAO PAULO,1,1
2017/04/03 17:08:00,SAO PAULO,1,1
2017/04/03 17:08:00,SAO PAULO,1,1
2017/04/03 17:08:00,SAO PAULO,1,1
2017/04/03 17:08:00,MATO GROSSO DO SUL,0.12,0
2017/04/03 17:08:00,MINAS GERAIS,1,1
2017/04/03 17:09:00,GOIAS,0.35,0
2017/04/03 17:09:00,GOIAS,0.1,0
2017/04/03 17:09:00,GOIAS,0.66,0
2017/04/03 17:09:00,GOIAS,0.1,0
2017/04/03 17:09:00,MATO GROSSO,0.02,0
2017/04/03 17:09:00,MATO GROSSO,0.53,0
2017/04/03 17:10:00,MATO GROSSO,0.47,0
2017/04/03 17:10:00,MATO GROSSO,0.07,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.04,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.02,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.62,0
2017/04/03 17:10:00,MATO GROSSO,0.15,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.16,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.16,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.62,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.07,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.47,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.09,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.01,0
2017/04/03 17:10:00,MATO GROSSO,0.06,0
2017/04/03 17:10:00,MATO GROSSO,0.06,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0.02,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:10:00,MATO GROSSO,0,0
2017/04/03 17:11:00,MARANHAO,0.13,0
2017/04/03 17:11:00,MATO GROSSO,0.01,0
2017/04/03 17:11:00,MATO GROSSO,0.29,0
2017/04/03 17:11:00,MATO GROSSO,0.04,0
2017/04/03 17:11:00,MATO GROSSO,0.4,0
2017/04/03 17:13:00,PARA,0,0
2017/04/03 17:14:00,RORAIMA,0.35,0
2017/04/03 17:14:00,RORAIMA,0.29,0
2017/04/03 17:14:00,RORAIMA,0.07,0
2017/04/03 17:14:00,RORAIMA,0.29,0
2017/04/03 17:14:00,RORAIMA,0.38,0
2017/04/03 17:15:00,RORAIMA,0.53,0
2017/04/03 17:15:00,RORAIMA,0.41,0
2017/04/03 17:15:00,RORAIMA,0.53,0
2017/04/03 17:15:00,RORAIMA,0.52,0
2017/04/03 17:15:00,RORAIMA,0.52,0
2017/04/03 17:15:00,RORAIMA,0.56,0
2017/04/03 17:15:00,RORAIMA,0.17,0
2017/04/03 17:15:00,RORAIMA,0.6,0
2017/04/03 17:15:00,RORAIMA,0.6,0
2017/04/03 17:15:00,RORAIMA,0.6,0
2017/04/04 16:12:00,RIO DE JANEIRO,1,1
2017/04/04 16:12:00,MINAS GERAIS,0.45,0
2017/04/04 16:12:00,RIO DE JANEIRO,1,1
2017/04/04 16:12:00,RIO DE JANEIRO,1,1
2017/04/04 16:12:00,RIO DE JANEIRO,1,1
2017/04/04 16:13:00,MINAS GERAIS,1,1
2017/04/04 16:13:00,MINAS GERAIS,1,1
2017/04/04 16:13:00,MINAS GERAIS,0.13,0
2017/04/04 16:13:00,MINAS GERAIS,1,1
2017/04/04 16:15:00,SERGIPE,0.29,0
2017/04/04 16:16:00,TOCANTINS,0.02,0
2017/04/04 17:49:00,RIO GRANDE DO SUL,0.44,0
2017/04/04 17:49:00,RIO GRANDE DO SUL,0.45,0
2017/04/04 17:52:00,MATO GROSSO DO SUL,0.46,0
2017/04/04 17:53:00,MATO GROSSO,0.71,1
2017/04/04 17:57:00,RORAIMA,0.41,0
2017/04/04 17:57:00,AMAZONAS,0.01,0
2017/04/04 17:57:00,RORAIMA,0.27,0
2017/04/04 17:57:00,AMAZONAS,0.21,0
2017/04/04 17:58:00,RORAIMA,0.75,1
2017/04/04 17:58:00,RORAIMA,0.75,1
2017/04/04 17:58:00,RORAIMA,0.75,1
