datahora,estado,riscofogo,riscoAbsoluto
2016/05/31 16:39:00,TOCANTINS,0.7,1
2016/05/31 16:39:00,MATO GROSSO,1,1
2016/05/31 16:39:00,MATO GROSSO,0.7,1
2016/05/31 16:39:00,MATO GROSSO,0.63,0
2016/05/31 16:39:00,TOCANTINS,1,1
2016/05/31 16:39:00,MATO GROSSO,1,1
2016/05/31 16:39:00,MATO GROSSO,0.91,1
2016/05/31 16:39:00,MATO GROSSO,0.63,0
2016/05/31 16:40:00,MATO GROSSO,,0
2016/05/31 16:40:00,MARANHAO,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,0.67,0
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,MARANHAO,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,MARANHAO,1,1
2016/05/31 16:40:00,MARANHAO,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,0.66,0
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,TOCANTINS,0.37,0
2016/05/31 16:40:00,MATO GROSSO,0.92,1
2016/05/31 16:40:00,MATO GROSSO,1,1
2016/05/31 16:40:00,TOCANTINS,0.86,1
2016/05/31 16:40:00,PARA,0.45,0
2016/05/31 16:40:00,TOCANTINS,0.37,0
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,PIAUI,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,1,1
2016/05/31 16:40:00,TOCANTINS,0.3,0
2016/05/31 16:40:00,MARANHAO,1,1
2016/05/31 16:41:00,MARANHAO,,0
2016/05/31 16:41:00,PARA,0.14,0
2016/05/31 16:41:00,PIAUI,,0
2016/05/31 16:41:00,MARANHAO,0.01,0
2016/05/31 16:41:00,PARA,0,0
2016/05/31 16:41:00,MARANHAO,0.21,0
2016/05/31 16:41:00,MARANHAO,,0
2016/05/31 16:41:00,MARANHAO,,0
2016/05/31 16:41:00,PARA,0.33,0
2016/05/31 16:42:00,PARA,0.25,0
2016/05/31 16:42:00,PARA,0.02,0
2016/05/31 18:18:00,ACRE,0.26,0
2016/05/31 18:18:00,ACRE,0.26,0
2016/05/31 18:19:00,ACRE,0.14,0
2016/05/31 18:19:00,ACRE,0.14,0
2016/06/01 15:43:00,BAHIA,1,1
2016/06/01 15:43:00,BAHIA,1,1
2016/06/01 15:43:00,BAHIA,1,1
2016/06/01 15:43:00,BAHIA,1,1
2016/06/01 15:43:00,BAHIA,1,1
2016/06/01 15:43:00,BAHIA,1,1
2016/06/01 15:45:00,RIO GRANDE DO NORTE,1,1
2016/06/01 15:46:00,MARANHAO,,0
2016/06/01 15:46:00,MARANHAO,,0
2016/06/01 15:46:00,MARANHAO,,0
2016/06/01 15:46:00,MARANHAO,,0
2016/06/01 17:17:00,RIO GRANDE DO SUL,0.04,0
2016/06/01 17:17:00,RIO GRANDE DO SUL,0.02,0
2016/06/01 17:17:00,RIO GRANDE DO SUL,0.16,0
2016/06/01 17:20:00,MINAS GERAIS,0.97,1
2016/06/01 17:20:00,MINAS GERAIS,1,1
2016/06/01 17:20:00,MINAS GERAIS,1,1
2016/06/01 17:20:00,GOIAS,1,1
2016/06/01 17:21:00,BAHIA,1,1
2016/06/01 17:21:00,BAHIA,1,1
2016/06/01 17:21:00,BAHIA,1,1
2016/06/01 17:21:00,MINAS GERAIS,1,1
2016/06/01 17:21:00,MINAS GERAIS,1,1
2016/06/01 17:21:00,GOIAS,1,1
2016/06/01 17:21:00,DISTRITO FEDERAL,1,1
2016/06/01 17:21:00,GOIAS,1,1
2016/06/01 17:21:00,MINAS GERAIS,1,1
2016/06/01 17:21:00,MATO GROSSO,1,1
2016/06/01 17:21:00,MATO GROSSO,1,1
2016/06/01 17:21:00,GOIAS,0.83,1
2016/06/01 17:21:00,GOIAS,1,1
2016/06/01 17:21:00,GOIAS,1,1
2016/06/01 17:21:00,MATO GROSSO,0.89,1
2016/06/01 17:21:00,MATO GROSSO,0.9,1
2016/06/01 17:22:00,MATO GROSSO,,0
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.87,1
2016/06/01 17:22:00,MATO GROSSO,0.46,0
2016/06/01 17:22:00,MATO GROSSO,0.78,1
2016/06/01 17:22:00,MATO GROSSO,0.86,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,MATO GROSSO,0.94,1
2016/06/01 17:22:00,MATO GROSSO,0.64,0
2016/06/01 17:22:00,MATO GROSSO,0.78,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.75,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.78,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.75,1
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.7,1
2016/06/01 17:22:00,MATO GROSSO,0.92,1
2016/06/01 17:22:00,MATO GROSSO,0.84,1
2016/06/01 17:22:00,MATO GROSSO,0.6,0
2016/06/01 17:22:00,TOCANTINS,0.78,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,MATO GROSSO,0.51,0
2016/06/01 17:22:00,MATO GROSSO,0.85,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.79,1
2016/06/01 17:22:00,MATO GROSSO,0.85,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.61,0
2016/06/01 17:22:00,MATO GROSSO,0.61,0
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.86,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.76,1
2016/06/01 17:22:00,MATO GROSSO,0.86,1
2016/06/01 17:22:00,MATO GROSSO,0.73,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.87,1
2016/06/01 17:22:00,MATO GROSSO,0.21,0
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.43,0
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,BAHIA,1,1
2016/06/01 17:22:00,BAHIA,1,1
2016/06/01 17:22:00,GOIAS,0.78,1
2016/06/01 17:22:00,MATO GROSSO,1,1
2016/06/01 17:22:00,MATO GROSSO,0.84,1
2016/06/01 17:22:00,MATO GROSSO,0.82,1
2016/06/01 17:22:00,TOCANTINS,1,1
2016/06/01 17:23:00,TOCANTINS,0.94,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,0.38,0
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,0.84,1
2016/06/01 17:23:00,PARA,0.55,0
2016/06/01 17:23:00,MATO GROSSO,0.65,0
2016/06/01 17:23:00,MATO GROSSO,0.67,0
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,1,1
2016/06/01 17:23:00,MATO GROSSO,0.14,0
2016/06/01 17:24:00,MARANHAO,0.04,0
2016/06/01 17:24:00,PARA,0.43,0
2016/06/01 17:24:00,PARA,0.43,0
